year,stock,capture,effort
1995,Decapterus spp,2070,153
1996,Decapterus spp,6319,731
1997,Decapterus spp,4801,459
1998,Decapterus spp,7281,552
1999,Decapterus spp,4976,392
2000,Decapterus spp,5535,658
2001,Decapterus spp,4132,641
2002,Decapterus spp,4527,358
2003,Decapterus spp,3866,478
2004,Decapterus spp,2833,1156
2005,Decapterus spp,5438,1566
2006,Decapterus spp,3577,720
2007,Decapterus spp,3120,2023
2008,Decapterus spp,2739,555
2009,Decapterus spp,5630,895
2010,Decapterus spp,2960,774
2011,Decapterus spp,3758,1601
2012,Decapterus spp,6679,2272
2013,Decapterus spp,6785,1969
2014,Decapterus spp,4539,1469
2015,Decapterus spp,7130,3195
2016,Decapterus spp,7101,1056
2017,Decapterus spp,4796,1511
2018,Decapterus spp,9128,1129
2019,Decapterus spp,8691,1674
2020,Decapterus spp,7981,1564
2021,Decapterus spp,10490,851
