variable,year,mean,sd,lower,upper
b_t,1995,54858.7409740578,59152.5402823846,23313.1334677214,127958.431713306
b_t,1996,57725.4851475648,74978.9625340178,20703.157674324,136594.861650968
b_t,1997,61697.9703149424,79738.5670154832,21930.6199097193,149503.758262834
b_t,1998,69071.6164279154,89938.4211310539,24784.6011212526,174621.443577527
b_t,1999,66391.0964300485,94103.2220846892,20321.2338350175,179983.330407904
b_t,2000,53126.2543791023,72618.4232173454,18028.4209050605,132616.132169044
b_t,2001,48853.5483930514,73965.403180385,17479.870639511,118927.485860669
b_t,2002,58237.0630747591,85518.8179478327,19609.8654836065,152206.650353914
b_t,2003,41940.8606839233,58368.4738881281,13738.3984721117,101908.968448912
b_t,2004,24679.8398390046,35666.967530362,8473.04998171111,60141.5862505541
b_t,2005,25365.3583639135,36483.0268412525,9572.31406888599,61963.304740805
b_t,2006,24953.3314255992,38142.0925713226,8579.64021730311,60651.8875403664
b_t,2007,19214.0653236289,25617.9586843967,7422.49391658666,45550.0426656239
b_t,2008,26610.3723025693,39780.3533800682,9150.03536080898,64843.0785465501
b_t,2009,31090.3499644372,43582.7053021514,11103.7708749845,71209.507049123
b_t,2010,25566.8879320432,44212.2566565853,8164.58829650369,60553.8944134139
b_t,2011,20933.3277113888,28574.7408622782,8313.92800764818,46481.2119325751
b_t,2012,22682.6270547782,29063.5028657803,9864.06657969894,48855.2628919815
b_t,2013,22863.5560000056,26939.4121855455,9971.87060339427,52486.9572934869
b_t,2014,21841.0691312381,27726.0811692607,8405.66660876642,51164.4185064638
b_t,2015,24124.6683160771,29298.0910934162,10431.3512847594,54708.5628088584
b_t,2016,31564.4670276294,43042.6904170659,12229.1544975416,75312.5242873643
b_t,2017,29664.5457281993,42845.5608232318,10943.7726360955,70586.2638520746
b_t,2018,41131.5484121482,51973.510333362,16630.8781189202,94891.5586400621
b_t,2019,38949.802284941,46502.2253005429,15702.5439283617,88115.0370217552
b_t,2020,41740.4025818007,59653.2078003005,14878.8620748373,101953.550351772
b_t,2021,56439.272278546,81956.1353287542,18242.5591477293,139823.076168867
bmsy,1995,35722.1900302415,39001.0739985866,15002.3745849947,81232.5225067976
ck,1995,0.0407194454940327,0.0169970948028749,0.0127412029697348,0.0689890872453247
ck,1996,0.12430250052019,0.0518863005117711,0.0388945224955333,0.210600020436332
ck,1997,0.0944415738245656,0.0394217643229962,0.0295509736510612,0.160008023123094
ck,1998,0.143226223498576,0.0597854334588077,0.0448157965326758,0.242661615571599
ck,1999,0.0978840390233365,0.0408587167821765,0.0306281284914977,0.165840433880549
ck,2000,0.108880256429696,0.0454487534946436,0.0340688688103777,0.184470820242934
ck,2001,0.0812815211504072,0.0339285003504729,0.0254331645753353,0.13771154999888
ck,2002,0.0890516568847758,0.0371719073297655,0.0278644569294634,0.150876134279993
ck,2003,0.0760489740482755,0.0317443326125189,0.0237958892178718,0.128846285647549
ck,2004,0.0557285937606737,0.0232622075249007,0.017437598074038,0.0944183981478285
ck,2005,0.106972147148092,0.0446522712744123,0.0334718172702501,0.18123799828023
ck,2006,0.0703639886628767,0.0293713082656441,0.0220170449385223,0.11921447588238
ck,2007,0.0613742366866579,0.0256188095579563,0.0192041320123538,0.103983551790055
ck,2008,0.053879498168191,0.0224903587753982,0.0168590120454606,0.0912855603695384
ck,2009,0.110749023251886,0.0462288134010558,0.0346536100094718,0.187636986082695
